user,item,rating
479,113,4
341,292,3
395,124,3
115,220,4
300,649,5
63,383,4
832,428,4
892,234,3
621,361,4
843,221,3
863,46,5
520,89,2
192,99,5
933,701,4
412,14,4
37,417,5
404,1259,1
453,314,4
779,355,5
544,682,4
183,258,3
428,177,4
42,484,4
221,470,2
193,98,3
885,824,1
450,299,4
268,715,1
238,161,5
552,511,4
339,586,5
532,316,5
12,824,5
155,21,3
709,601,4
714,27,5
57,481,5
845,725,4
829,202,4
351,155,4
111,877,4
255,1,5
581,473,5
455,695,4
365,52,5
842,499,2
711,493,4
803,511,5
681,80,3
455,142,3
101,687,3
233,1166,2
618,26,4
636,1342,4
402,236,5
554,86,4
700,267,5
841,360,3
221,668,3
576,10,2
218,267,5
317,737,5
867,79,2
428,221,4
781,1011,3
791,128,4
101,227,4
200,364,2
93,184,5
654,1637,4
225,91,2
325,365,3
620,470,3
620,449,1
506,298,5
383,325,4
803,1409,3
304,215,5
314,179,4
326,200,5
607,355,5
294,136,4
683,146,2
242,13,3
117,673,5
499,994,1
24,256,4
11,237,5
71,566,4
560,161,3
362,162,3
326,417,4
587,259,2
642,254,4
427,752,4
906,49,4
562,474,3
633,975,3
269,1012,4
851,49,5
313,121,1
406,355,4
313,93,4
392,1226,3
69,180,4
561,441,5
456,946,1
620,744,4
845,965,3
621,68,4
649,68,2
19,595,3
429,18,5
761,513,5
338,202,4
249,122,3
58,3,4
140,869,3
398,745,5
710,547,4
346,84,5
12,890,3
720,1440,4
180,1358,1
98,97,5
260,324,4
194,1082,4
804,441,5
532,9,2
401,126,5
235,331,3
475,317,1
272,266,5
153,639,5
345,212,3
896,167,3
867,496,3
223,580,4
581,595,3
320,220,5
41,951,2
773,672,2
737,21,3
877,150,1
387,274,2
125,292,3
435,71,5
619,832,2
393,232,3
726,524,4
289,108,3
109,903,3
459,150,3
847,150,4
617,21,4
592,57,4
526,173,4
86,1179,3
827,56,3
933,512,5
346,470,5
342,300,4
839,181,4
144,21,5
485,149,3
93,544,3
294,114,5
845,1449,4
81,355,4
846,505,3
526,18,3
888,1108,3
337,193,3
834,652,5
882,564,3
129,1037,4
885,369,1
577,249,2
836,594,3
467,54,5
372,485,4
183,316,5
830,271,3
895,282,4
513,400,4
183,1018,4
236,526,5
878,120,4
388,134,2
164,90,4
617,1061,3
473,703,3
804,104,2
205,681,1
503,559,4
797,658,3
103,1008,1
896,54,3
42,480,4
327,1516,3
90,130,2
462,282,3
503,1082,4
333,186,4
44,991,4
788,284,1
621,143,5
200,6,3
331,4,5
243,391,3
436,649,4
551,289,2
838,49,5
279,6,4
151,132,5
488,320,5
845,315,3
638,738,4
746,1202,4
12,610,4
194,1405,2
720,879,3
143,301,4
243,710,3
748,519,4
373,94,4
542,201,4
180,874,1
293,879,3
61,662,4
484,292,1
144,63,4
637,408,4
200,67,2
537,653,3
542,28,2
681,79,1
292,186,3
268,254,1
248,851,4
617,1030,2
498,481,5
659,175,3
649,214,2
11,733,5
331,21,5
485,992,3
408,274,4
424,746,3
233,186,4
416,723,4
496,400,4
333,80,4
252,525,5
245,256,4
78,235,5
456,180,4
565,286,3
566,519,3
631,586,2
533,298,4
900,864,3
862,748,4
591,1279,3
502,266,5
499,369,4
560,201,3
499,727,4
915,739,3
266,1183,2
730,135,4
881,986,5
369,482,4
428,169,5
124,121,1
891,669,5
229,494,5
278,795,4
6,140,5
234,492,4
143,298,3
86,1180,3
344,215,5
880,213,4
834,1043,4
831,874,3
223,1161,2
675,168,5
409,257,2
292,1206,3
220,284,4
176,244,3
520,55,4
302,1116,3
206,845,3
422,1132,4
61,481,4
310,413,3
553,10,4
392,1041,3
832,120,1
324,15,1
664,55,5
117,174,5
37,311,5
344,972,3
915,425,4
396,478,5
93,31,5
449,110,4
932,52,1
379,178,3
261,1145,4
306,226,5
522,257,5
384,274,3
21,166,3
877,529,2
233,504,4
68,11,5
492,460,2
233,603,3
757,344,2
297,87,5
870,433,3
517,122,2
76,453,3
596,117,3
150,1037,4
544,100,4
654,574,2
920,558,2
268,134,4
412,326,3
314,237,5
794,208,5
180,265,1
837,6,5
63,110,4
392,715,3
737,185,4
455,364,2
405,745,2
118,171,4
869,652,4
851,504,4
933,144,3
379,727,3
532,1175,1
6,670,1
14,320,3
52,227,3
902,521,5
43,196,4
605,179,4
257,746,5
476,48,5
12,332,1
342,27,5
505,46,4
275,200,5
136,120,5
514,330,3
325,315,3
451,6,5
473,927,3
338,661,5
120,248,1
428,122,4
434,72,3
646,201,4
522,69,5
377,418,4
746,479,5
744,173,3
279,778,4
915,180,4
487,209,4
353,461,4
554,1052,3
597,746,4
653,1046,3
89,969,4
262,175,5
637,227,3
920,1277,2
933,792,4
109,257,4
235,96,5
918,287,3
920,367,1
939,199,3
398,126,2
310,133,5
434,951,3
212,180,4
426,1263,5
392,821,3
794,429,4
821,1238,3
912,209,2
326,770,3
357,509,2
300,119,2
431,473,4
205,358,1
723,292,4
300,161,3
290,172,5
326,1067,4
847,403,5
403,258,5
93,1207,2
923,509,5
668,167,4
377,785,3
806,449,5
120,626,3
105,190,5
651,292,2
787,240,5
893,1192,5
649,156,3
936,273,4
291,473,5
200,1061,3
746,285,4
523,284,5
665,954,4
822,159,4
262,482,4
435,923,4
693,203,4
689,24,3
466,126,5
449,345,4
454,96,5
607,192,4
37,443,2
614,159,3
875,316,5
238,630,5
212,47,5
22,214,2
248,91,5
10,221,3
195,172,2
193,82,3
545,928,5
220,1435,3
145,325,3
257,284,5
499,38,4
880,228,4
279,272,5
169,320,5
487,198,4
143,192,4
820,125,5
909,209,4
266,640,4
654,248,3
523,459,3
636,1031,3
591,97,5
453,99,4
41,441,3
270,623,3
144,300,4
560,27,2
377,564,3
71,264,4
326,215,3
1,298,4
629,215,5
876,700,4
787,282,3
933,222,5
564,379,2
386,322,4
352,341,2
290,713,5
233,95,2
760,356,3
765,835,3
665,790,4
454,315,3
300,580,2
229,400,5
153,478,5
4,413,1
98,471,4
822,730,5
623,1026,3
381,1227,5
550,146,4
562,209,4
757,330,4
560,466,1
171,610,3
250,610,5
732,456,2
532,494,5
289,90,2
756,78,4
405,445,4
463,296,4
931,1018,5
553,937,4
825,61,4
10,522,4
665,383,3
382,179,5
849,298,5
192,194,1
616,853,3
438,288,4
298,544,3
271,1099,5
665,961,3
315,505,3
436,705,3
5,292,2
20,928,1
787,389,2
931,473,4
536,221,2
328,249,3
59,150,5
537,120,3
748,737,3
160,256,3
434,471,3
310,365,3
245,1230,1
0,253,1
500,126,5
689,512,1
698,530,3
806,228,4
136,890,3
58,197,5
132,320,2
726,393,3
319,160,4
473,495,5
863,142,4
221,331,5
535,385,3
483,753,4
529,59,5
384,46,4
58,133,5
98,99,5
905,1007,2
681,754,2
499,99,4
528,341,3
199,453,3
621,548,4
160,264,2
12,32,5
313,871,4
532,690,4
654,780,3
444,473,5
896,544,4
362,160,4
878,236,4
245,1220,3
300,78,5
338,99,5
40,27,4
845,27,5
64,167,4
108,1033,2
550,806,3
71,173,5
683,280,4
906,0,5
223,589,3
787,119,2
726,32,3
526,601,4
735,253,1
464,281,3
642,792,3
456,173,5
601,292,5
681,85,2
473,1284,2
274,94,3
720,1293,3
820,13,4
869,647,4
275,232,3
641,81,5
652,761,1
560,274,4
362,1099,3
871,1009,1
535,508,4
494,213,5
698,595,3
327,297,2
758,298,5
118,136,5
878,117,3
524,6,3
306,472,5
560,18,3
880,14,3
285,759,4
681,649,4
834,308,4
456,451,2
706,169,5
553,272,3
198,537,1
69,216,4
339,433,4
373,455,1
859,1039,2
641,405,5
621,281,4
532,625,2
449,314,4
398,620,4
689,225,3
459,126,4
653,474,3
64,469,4
143,711,4
91,593,3
326,303,5
772,853,2
346,740,5
486,274,3
614,134,4
36,78,4
89,300,5
206,552,2
532,238,3
313,683,4
789,96,2
807,310,3
665,740,3
895,740,1
916,274,5
452,8,3
827,273,3
124,746,3
885,229,2
869,37,3
929,170,1
553,949,3
624,197,4
483,225,4
249,1012,4
233,22,4
585,16,5
7,259,3
847,429,5
129,683,3
243,721,3
165,749,4
341,324,1
274,70,3
787,660,4
373,271,2
451,142,3
8,241,4
380,213,2
748,167,5
237,298,4
346,316,3
369,921,4
877,661,5
726,808,2
867,239,5
144,341,5
157,232,3
55,521,4
388,93,2
335,1010,5
253,34,2
654,1110,2
921,419,4
915,1096,4
707,147,4
270,1409,2
214,432,5
372,472,3
275,182,5
263,445,5
395,1397,3
548,409,3
42,954,1
129,544,4
707,533,2
93,30,4
90,204,5
281,292,4
658,185,3
681,795,2
659,823,2
12,93,3
806,210,4
603,670,1
681,719,4
63,567,3
71,502,4
827,983,3
373,47,5
263,11,5
290,261,4
794,107,3
654,389,2
377,300,5
757,261,5
863,714,2
494,203,4
452,201,4
157,69,4
279,65,5
765,132,3
521,478,5
392,86,4
478,175,4
173,220,4
297,944,3
659,521,3
560,1227,1
737,68,5
819,893,2
658,22,5
391,526,5
536,604,3
654,502,5
355,890,1
823,989,3
419,13,5
592,161,5
233,841,2
822,80,4
656,257,2
249,686,2
290,8,5
765,270,4
547,537,2
601,869,3
720,257,3
797,203,4
933,504,4
795,867,4
116,1055,2
588,331,5
89,267,5
605,183,5
331,311,5
503,674,4
783,305,4
271,177,5
48,239,3
532,320,4
69,131,4
536,679,1
816,322,2
654,1005,3
94,141,4
63,434,5
12,752,4
731,688,5
22,653,3
59,1121,4
714,57,4
295,237,4
457,13,5
499,1133,3
274,628,3
292,2,2
243,172,4
877,169,4
380,49,5
129,947,3
540,524,4
797,703,4
392,761,5
386,468,3
654,49,4
42,225,3
667,257,2
4,421,4
393,100,4
496,384,2
895,232,2
591,284,5
936,292,1
379,63,3
344,313,5
523,464,4
298,1212,2
829,68,5
566,523,5
735,294,4
532,999,1
183,1006,4
117,22,5
454,21,4
242,692,4
328,267,4
12,896,1
353,956,4
466,1015,2
59,590,4
93,134,4
81,433,5
342,655,5
196,61,2
832,191,5
902,180,4
804,12,3
59,135,4
144,633,4
906,483,5
34,241,2
517,124,5
879,155,4
68,55,5
124,65,5
121,1117,3
922,2,4
451,493,4
781,1650,1
408,875,2
311,659,5
654,154,4
345,97,2
653,274,1
221,1052,1
398,506,3
404,1405,1
629,930,2
885,504,4
285,233,3
654,379,3
869,566,4
653,282,4
86,707,3
269,776,5
824,868,3
804,239,3
415,928,3
496,201,4
127,402,3
15,659,4
638,178,1
877,316,5
304,300,4
889,213,4
388,0,4
881,6,4
565,234,3
477,152,3
300,1281,4
37,408,3
404,169,1
499,59,5
446,11,5
649,595,3
127,379,3
225,507,4
466,256,4
157,28,3
362,829,1
384,1454,4
398,792,3
720,326,5
118,928,3
834,926,3
435,658,4
404,956,1
166,215,4
404,1219,1
585,221,3
359,284,5
129,260,4
268,601,5
853,3,2
641,71,4
264,124,4
653,167,4
917,165,4
433,150,5
338,93,2
420,446,3
443,676,3
289,383,4
867,920,5
270,184,3
568,403,3
451,639,3
388,237,5
843,11,5
129,92,5
279,12,5
893,278,3
847,164,5
232,316,5
879,767,3
243,196,4
592,132,4
81,27,3
803,150,3
384,253,1
298,16,1
58,869,2
933,93,4
200,1353,1
891,376,4
369,264,5
858,473,4
932,513,3
497,546,2
275,1251,1
738,284,2
696,367,5
869,95,4
277,97,4
475,713,4
553,862,4
465,516,4
911,441,4
261,257,4
313,1046,4
818,379,4
6,91,5
397,78,4
652,78,4
433,8,1
692,602,3
269,445,4
591,875,2
813,199,4
909,308,3
57,115,5
567,78,4
939,676,4
245,175,4
732,513,5
688,356,4
144,409,2
18,308,4
857,290,3
192,299,4
933,96,4
398,1168,3
292,97,4
668,247,4
598,317,2
853,245,3
473,631,4
523,1558,4
638,547,2
531,690,5
446,627,3
61,71,3
559,256,3
495,149,2
441,217,3
6,125,3
166,696,4
456,1026,3
127,215,5
266,365,4
84,64,3
183,222,4
297,991,4
93,827,2
715,3,2
715,153,5
270,1118,2
787,214,3
296,49,5
451,57,3
346,280,5
441,570,3
307,138,3
164,201,4
166,224,3
845,196,4
830,286,1
709,508,4
938,117,5
51,316,5
502,126,5
550,61,5
592,759,2
84,843,3
2,301,3
535,629,2
832,233,3
144,257,4
912,654,3
307,653,4
428,1099,5
377,630,5
593,986,2
145,292,1
615,893,3
282,20,3
247,233,4
842,677,4
662,287,1
513,151,4
930,298,5
910,472,5
588,321,2
194,197,3
820,558,3
12,857,1
295,508,5
746,290,4
638,267,3
681,120,4
412,324,3
617,485,4
839,167,5
275,209,4
925,236,3
932,152,3
477,64,4
46,1020,3
869,433,3
781,678,1
82,253,2
200,605,4
429,545,2
536,169,3
436,423,4
48,625,2
628,298,4
886,383,4
386,175,3
