user,item,rating
404,1422,1
697,176,1
866,187,4
281,261,4
918,475,4
902,286,4
542,776,4
494,1186,5
591,316,5
268,821,3
784,78,4
880,13,1
763,690,4
533,917,5
186,69,4
285,459,2
31,117,3
888,1095,3
346,24,2
486,625,4
888,522,4
236,175,3
503,658,4
681,1435,2
879,1268,3
114,239,5
267,581,4
452,730,3
822,7,5
306,284,3
268,629,4
800,341,4
536,25,3
473,72,3
449,393,3
27,227,5
659,226,2
199,982,3
622,226,4
451,479,5
127,683,3
50,147,3
746,115,4
653,754,4
127,278,1
567,833,4
308,302,3
690,184,5
300,557,4
658,487,4
278,413,3
552,264,5
715,195,5
377,284,5
706,250,5
47,426,4
233,1460,3
456,132,4
270,27,5
456,119,2
129,576,5
304,1071,1
452,354,2
302,1140,4
458,2,2
311,661,5
789,249,5
349,186,5
289,234,3
797,97,1
183,507,4
508,287,2
435,439,3
285,819,4
362,315,5
292,195,4
0,250,4
647,673,2
935,293,3
209,256,5
312,204,5
377,498,4
84,1099,4
406,289,4
80,593,4
126,257,5
349,210,2
108,120,5
853,193,3
266,237,4
456,507,4
652,316,4
58,227,4
423,433,3
663,629,4
362,57,3
732,124,2
907,180,3
503,74,4
698,305,3
25,838,2
536,331,2
155,344,3
384,28,1
542,389,3
932,433,4
806,140,3
353,608,4
504,76,3
29,134,5
58,700,5
377,85,4
31,1010,4
434,176,5
279,671,4
344,449,5
289,192,4
585,1088,3
791,760,4
567,186,3
393,713,4
829,411,1
670,453,4
325,43,1
94,521,4
400,110,4
448,969,4
270,202,4
605,233,4
243,257,5
457,8,5
406,414,3
334,345,5
250,1014,3
62,266,3
503,355,4
14,224,3
292,768,3
267,71,3
832,49,2
0,204,3
213,870,2
212,131,5
824,1242,5
868,14,1
861,249,5
916,236,5
915,640,3
837,1113,4
229,433,4
726,61,3
669,478,5
726,583,2
12,218,1
310,480,4
554,116,4
74,425,4
98,1046,4
256,223,4
673,311,5
0,161,4
258,175,4
364,340,2
294,727,4
404,645,1
750,1099,1
644,480,4
880,142,5
266,225,3
12,179,5
223,706,2
85,298,3
679,19,4
786,936,3
74,843,3
484,319,3
920,760,2
154,292,3
359,421,4
167,676,1
827,115,4
99,896,4
879,1012,4
90,477,4
289,471,1
14,931,1
652,192,4
258,269,3
5,164,5
233,923,2
863,949,3
746,737,3
683,720,2
150,417,3
933,152,5
473,706,4
505,640,4
662,650,4
314,163,4
739,936,1
55,30,4
778,117,5
17,950,2
483,13,4
762,124,3
636,827,2
58,601,5
659,471,2
623,589,3
795,869,1
454,316,3
150,57,4
345,638,3
649,120,3
533,92,1
127,871,1
221,733,5
539,257,4
414,135,5
747,134,4
471,6,5
663,53,3
814,166,2
457,142,4
101,633,2
748,601,5
649,227,4
403,325,2
199,117,4
520,749,3
376,311,5
787,279,4
489,221,3
882,201,4
339,421,4
596,711,2
404,1266,1
748,466,3
373,195,1
269,281,5
795,190,4
231,51,5
331,813,4
322,473,3
537,236,4
313,1287,2
289,143,3
804,657,3
63,208,5
748,163,3
591,262,1
659,218,1
392,320,4
561,152,4
304,182,4
213,180,3
522,185,3
698,223,3
253,949,4
929,403,3
267,37,1
785,202,4
278,710,5
805,232,2
193,454,1
503,1039,3
436,612,5
222,224,3
154,326,2
825,718,3
398,549,1
852,268,4
0,227,5
342,497,5
203,0,2
486,120,4
647,391,4
144,672,4
355,305,4
335,256,4
150,478,5
494,509,4
428,794,3
473,690,4
304,188,5
862,317,2
522,725,4
446,174,3
129,88,4
290,922,4
847,49,5
550,155,5
775,434,4
167,928,3
544,1026,4
267,138,2
556,344,2
388,369,4
660,564,4
449,478,4
300,416,3
885,760,5
842,298,3
797,48,4
6,671,3
546,352,4
931,210,5
884,68,4
21,447,1
783,1036,3
58,671,5
22,586,4
787,67,3
737,209,5
665,1096,4
321,184,5
68,150,5
649,222,3
183,1295,2
320,63,3
302,92,5
453,273,2
346,463,3
603,565,5
42,843,5
416,88,5
882,207,4
294,1037,4
124,210,3
58,196,5
93,551,3
275,470,3
129,187,4
471,975,3
175,295,3
15,733,3
804,525,3
275,314,4
397,175,4
193,99,4
384,509,4
766,484,4
494,635,3
665,528,3
452,449,2
658,133,4
197,213,4
192,158,4
176,128,3
693,196,5
147,176,2
879,1275,4
229,139,3
345,656,3
109,286,4
683,726,2
834,285,4
214,194,5
278,27,2
298,169,5
531,138,5
176,6,4
805,13,3
150,421,4
23,215,4
129,421,5
343,661,5
692,649,3
5,495,4
268,300,3
300,160,3
319,749,4
457,790,4
328,336,2
270,485,4
362,733,3
698,878,3
922,263,3
551,1045,3
675,1481,4
177,142,4
293,1077,2
681,807,2
534,490,4
803,661,5
249,263,3
405,171,5
839,355,5
275,393,2
786,308,5
550,893,3
836,221,3
665,267,5
294,944,2
488,324,4
89,445,5
654,740,3
746,7,5
216,171,1
84,564,3
434,1229,2
620,539,4
292,69,3
565,683,3
364,471,4
902,682,3
91,215,3
275,167,5
249,99,5
343,234,3
339,403,5
869,645,4
571,287,3
711,944,4
436,460,5
25,300,5
434,629,2
160,21,2
757,7,5
576,864,5
324,1228,3
533,924,4
915,959,3
762,315,3
576,296,4
532,433,4
173,86,5
400,601,4
666,233,2
770,250,5
117,55,5
664,0,4
827,299,2
5,7,4
200,46,4
931,527,4
449,776,3
351,175,5
